,alpha,A,BA,P,R,SP,F1,ROC,MCC,RA,RSE,RSP
17,2.0,0.6883116883116883,0.6662962962962963,0.5517241379310345,0.5925925925925926,0.74,0.6632653061224489,0.6662962962962963,0.3275366019667524,1.0,1.0,1.0
18,2.5,0.7662337662337663,0.7348148148148148,0.68,0.6296296296296297,0.84,0.7386877828054299,0.7348148148148149,0.4785757597651158,1.0,1.0,1.0
19,3.0,0.7402597402597403,0.7233333333333334,0.6206896551724138,0.6666666666666666,0.78,0.7193877551020409,0.7233333333333333,0.4398765500800706,1.0,1.0,1.0
20,3.5,0.7402597402597403,0.7318518518518519,0.6129032258064516,0.7037037037037037,0.76,0.7234195402298851,0.7318518518518519,0.4511777625672017,1.0,1.0,1.0
21,4.0,0.7142857142857143,0.7118518518518518,0.5757575757575758,0.7037037037037037,0.72,0.699645390070922,0.7118518518518518,0.4085505846855608,1.0,1.0,1.0
22,4.5,0.7402597402597403,0.7233333333333334,0.6206896551724138,0.6666666666666666,0.78,0.7193877551020409,0.7233333333333333,0.4398765500800706,1.0,1.0,1.0
23,5.0,0.7532467532467533,0.7418518518518519,0.6333333333333333,0.7037037037037037,0.78,0.7353951890034365,0.7418518518518519,0.4733002574487753,1.0,1.0,1.0
24,5.5,0.7142857142857143,0.7118518518518518,0.5757575757575758,0.7037037037037037,0.72,0.699645390070922,0.7118518518518518,0.4085505846855608,1.0,1.0,1.0
25,6.0,0.6753246753246753,0.6648148148148147,0.53125,0.6296296296296297,0.7,0.6565566458519179,0.6648148148148149,0.31916251649301863,1.0,1.0,1.0
26,0.0,0.7402597402597403,0.7062962962962962,0.64,0.5925925925925926,0.82,0.7096530920060332,0.7062962962962963,0.4204522053456932,0.8947368421052632,0.8666666666666667,1.0
27,0.5,0.7402597402597403,0.7148148148148148,0.6296296296296297,0.6296296296296297,0.8,0.7148148148148148,0.7148148148148149,0.42962962962962964,0.8947368421052632,0.8666666666666667,1.0
28,1.0,0.7662337662337663,0.7433333333333333,0.6666666666666666,0.6666666666666666,0.82,0.7433333333333333,0.7433333333333334,0.4866666666666667,0.8947368421052632,0.8666666666666667,1.0
29,1.5,0.7922077922077922,0.788888888888889,0.6774193548387096,0.7777777777777778,0.8,0.7787356321839081,0.788888888888889,0.5621703750837337,0.8947368421052632,0.8666666666666667,1.0
30,2.0,0.7532467532467533,0.7333333333333334,0.6428571428571429,0.6666666666666666,0.8,0.7313131313131314,0.7333333333333333,0.4629100498862757,0.8947368421052632,0.8666666666666667,1.0
31,2.5,0.7142857142857143,0.6948148148148148,0.5862068965517241,0.6296296296296297,0.76,0.6913265306122449,0.6948148148148149,0.3837065760234115,0.8947368421052632,0.8666666666666667,1.0
32,3.0,0.7662337662337663,0.768888888888889,0.6363636363636364,0.7777777777777778,0.76,0.7542553191489361,0.768888888888889,0.5185449728701349,1.0,1.0,1.0
33,3.5,0.7662337662337663,0.768888888888889,0.6363636363636364,0.7777777777777778,0.76,0.7542553191489361,0.768888888888889,0.5185449728701349,1.0,1.0,1.0
34,4.0,0.7922077922077922,0.8059259259259259,0.6571428571428571,0.8518518518518519,0.76,0.7840112201963534,0.8059259259259259,0.5863467140999449,1.0,1.0,1.0
35,4.5,0.7922077922077922,0.7974074074074073,0.6666666666666666,0.8148148148148148,0.78,0.7815602836879432,0.7974074074074075,0.5735421669624219,1.0,1.0,1.0
36,5.0,0.7532467532467533,0.7674074074074073,0.6111111111111112,0.8148148148148148,0.72,0.7448107448107448,0.7674074074074074,0.5114782075908113,1.0,1.0,1.0
37,5.5,0.7792207792207793,0.7874074074074073,0.6470588235294118,0.8148148148148148,0.76,0.7692578882425525,0.7874074074074074,0.5523586388082835,1.0,1.0,1.0
38,6.0,0.7792207792207793,0.7959259259259259,0.6388888888888888,0.8518518518518519,0.74,0.7716727716727716,0.7959259259259259,0.5660264374862303,1.0,1.0,1.0
39,0.0,0.7922077922077922,0.7718518518518518,0.7037037037037037,0.7037037037037037,0.84,0.7718518518518518,0.7718518518518518,0.5437037037037037,0.9565217391304348,0.9375,1.0
40,0.5,0.8051948051948052,0.7733333333333333,0.75,0.6666666666666666,0.88,0.7801256424900057,0.7733333333333333,0.563178312189625,1.0,1.0,1.0
41,1.0,0.8051948051948052,0.7733333333333333,0.75,0.6666666666666666,0.88,0.7801256424900057,0.7733333333333333,0.563178312189625,1.0,1.0,1.0
42,1.5,0.7792207792207793,0.7533333333333333,0.6923076923076923,0.6666666666666666,0.84,0.7554642256678498,0.7533333333333333,0.5112313234371975,1.0,1.0,1.0
43,2.0,0.7922077922077922,0.788888888888889,0.6774193548387096,0.7777777777777778,0.8,0.7787356321839081,0.788888888888889,0.5621703750837337,1.0,1.0,1.0
44,2.5,0.8051948051948052,0.7988888888888889,0.7,0.7777777777777778,0.82,0.791101465002713,0.7988888888888889,0.5849208388379199,1.0,1.0,1.0
45,3.0,0.7922077922077922,0.7718518518518518,0.7037037037037037,0.7037037037037037,0.84,0.7718518518518518,0.7718518518518518,0.5437037037037037,1.0,1.0,1.0
46,3.5,0.8051948051948052,0.7903703703703704,0.7142857142857143,0.7407407407407407,0.84,0.7878787878787878,0.7903703703703703,0.5760658398584765,1.0,1.0,1.0
47,4.0,0.8181818181818182,0.8088888888888889,0.7241379310344828,0.7777777777777778,0.84,0.8035714285714286,0.8088888888888888,0.6083864722500479,1.0,1.0,1.0
48,4.5,0.8051948051948052,0.7988888888888889,0.7,0.7777777777777778,0.82,0.791101465002713,0.7988888888888889,0.5849208388379199,1.0,1.0,1.0
49,5.0,0.8181818181818182,0.8088888888888889,0.7241379310344828,0.7777777777777778,0.84,0.8035714285714286,0.8088888888888888,0.6083864722500479,1.0,1.0,1.0
50,5.5,0.8181818181818182,0.8088888888888889,0.7241379310344828,0.7777777777777778,0.84,0.8035714285714286,0.8088888888888888,0.6083864722500479,1.0,1.0,1.0
51,6.0,0.8181818181818182,0.8088888888888889,0.7241379310344828,0.7777777777777778,0.84,0.8035714285714286,0.8088888888888888,0.6083864722500479,1.0,1.0,1.0
52,0.0,0.7402597402597403,0.6892592592592592,0.6666666666666666,0.5185185185185185,0.86,0.6973270440251573,0.6892592592592592,0.40555555555555556,0.9090909090909091,0.8666666666666667,1.0
53,0.5,0.7792207792207793,0.7362962962962962,0.7272727272727273,0.5925925925925926,0.88,0.745578231292517,0.7362962962962963,0.49918452017784487,0.9545454545454546,0.9333333333333333,1.0
54,1.0,0.7792207792207793,0.7362962962962962,0.7272727272727273,0.5925925925925926,0.88,0.745578231292517,0.7362962962962963,0.49918452017784487,0.9545454545454546,0.9333333333333333,1.0
55,1.5,0.7792207792207793,0.7362962962962962,0.7272727272727273,0.5925925925925926,0.88,0.745578231292517,0.7362962962962963,0.49918452017784487,0.9545454545454546,0.9333333333333333,1.0
56,2.0,0.7662337662337663,0.7348148148148148,0.68,0.6296296296296297,0.84,0.7386877828054299,0.7348148148148149,0.4785757597651158,0.9545454545454546,0.9333333333333333,1.0
57,2.5,0.7662337662337663,0.7262962962962962,0.6956521739130435,0.5925925925925926,0.86,0.7334615384615384,0.7262962962962962,0.47186039625508397,0.9545454545454546,0.9333333333333333,1.0
58,3.0,0.7532467532467533,0.7162962962962962,0.6666666666666666,0.5925925925925926,0.84,0.7214924804873406,0.7162962962962963,0.44565871858907996,0.9545454545454546,0.9333333333333333,1.0
59,3.5,0.7142857142857143,0.6862962962962963,0.5925925925925926,0.5925925925925926,0.78,0.6862962962962963,0.6862962962962964,0.3725925925925926,0.9545454545454546,0.9333333333333333,1.0
60,4.0,0.7532467532467533,0.7248148148148148,0.6538461538461539,0.6296296296296297,0.82,0.7266953110405381,0.7248148148148149,0.4536804288397352,0.9545454545454546,0.9333333333333333,1.0
61,4.5,0.7272727272727273,0.7048148148148148,0.6071428571428571,0.6296296296296297,0.78,0.703030303030303,0.7048148148148149,0.4063321549001754,0.9545454545454546,0.9333333333333333,1.0
62,5.0,0.7402597402597403,0.7148148148148148,0.6296296296296297,0.6296296296296297,0.8,0.7148148148148148,0.7148148148148149,0.42962962962962964,0.9545454545454546,0.9333333333333333,1.0
63,5.5,0.7272727272727273,0.7048148148148148,0.6071428571428571,0.6296296296296297,0.78,0.703030303030303,0.7048148148148149,0.4063321549001754,0.9545454545454546,0.9333333333333333,1.0
64,6.0,0.7272727272727273,0.7048148148148148,0.6071428571428571,0.6296296296296297,0.78,0.703030303030303,0.7048148148148149,0.4063321549001754,0.9545454545454546,0.9333333333333333,1.0
65,0.0,0.7402597402597403,0.7233333333333334,0.6206896551724138,0.6666666666666666,0.78,0.7193877551020409,0.7233333333333333,0.4398765500800706,0.8888888888888888,0.8421052631578947,1.0
66,0.5,0.8051948051948052,0.7988888888888889,0.7,0.7777777777777778,0.82,0.791101465002713,0.7988888888888889,0.5849208388379199,0.9259259259259259,0.8947368421052632,1.0
67,1.0,0.7922077922077922,0.788888888888889,0.6774193548387096,0.7777777777777778,0.8,0.7787356321839081,0.788888888888889,0.5621703750837337,0.9629629629629629,0.9473684210526315,1.0
