,sub,model,depth,A_data,A_BB,F1_data,F1_BB,XNOR,AND,JAC,COS,DICE,TANI
4399,correct,KB-ML,12,0.8026315789473685,0.9210526315789473,0.8069120313084516,0.9208314904909332,0.5787106446776611,0.24887556221889057,0.35919449695442135,0.5855189510558805,0.5161220631920065,0.35919449695442135
2547,correct,KB-ML,11,0.7142857142857143,0.9090909090909091,0.719452887537994,0.9092794845603834,0.8824561403508774,0.6614035087719297,0.852646410712772,0.9190851229492305,0.9157158630842842,0.852646410712772
1535,correct,KB-ML,11,0.7272727272727273,0.8701298701298701,0.7283746556473828,0.8692435438125095,0.8533333333333333,0.5733333333333333,0.8028985507246377,0.8872231240962938,0.8816666666666665,0.8028985507246377
3631,correct,KB-ML,7,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.7418546365914788,0.5162907268170426,0.6697994987468672,0.8084550732320266,0.7958606192901608,0.6697994987468672
1537,all,KB-ML,12,0.7272727272727273,0.8701298701298701,0.7283746556473828,0.8692435438125095,0.4849137931034483,0.20474137931034483,0.2691102001446829,0.46114113073391266,0.36927349722268044,0.2691102001446829
1539,correct,KB-ML,12,0.7272727272727273,0.8701298701298701,0.7283746556473828,0.8692435438125095,0.4875,0.2,0.2687062937062937,0.46301186374906667,0.3702950558213716,0.2687062937062937
3629,all,KB-ML,7,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.7362637362637364,0.5256410256410257,0.6721611721611721,0.8081142048222717,0.7976818208673048,0.6721611721611721
1541,all,KB-ML,2,0.7142857142857143,0.8571428571428571,0.7045148247978437,0.8517006802721089,0.4423076923076923,0.27884615384615385,0.33195970695970706,0.5234159676935437,0.4976689976689977,0.33195970695970706
1543,correct,KB-ML,2,0.7142857142857143,0.8571428571428571,0.7045148247978437,0.8517006802721089,0.45,0.25,0.3142857142857142,0.5138089935299395,0.4777777777777778,0.3142857142857142
1533,all,KB-ML,11,0.7272727272727273,0.8701298701298701,0.7283746556473828,0.8692435438125095,0.8655172413793103,0.5850574712643678,0.8205540087099309,0.8969430486476285,0.8931034482758619,0.8205540087099309
3627,correct,KB-ML,6,0.6623376623376623,0.7792207792207793,0.6694413580809093,0.7815106242072534,0.7076023391812868,0.44444444444444436,0.606709080393291,0.7638355378560827,0.746943115364168,0.606709080393291
1545,all,KB-ML,3,0.7142857142857143,0.8571428571428571,0.7045148247978437,0.8517006802721089,0.43846153846153857,0.29615384615384616,0.3466117216117216,0.5414602653776244,0.5105894105894105,0.3466117216117216
3127,correct,KB-ML,2,0.7142857142857143,0.7922077922077922,0.7083516483516483,0.7863313157430805,0.5514705882352942,0.33088235294117646,0.4313725490196078,0.6179365872609139,0.596078431372549,0.4313725490196078
1547,correct,KB-ML,3,0.7142857142857143,0.8571428571428571,0.7045148247978437,0.8517006802721089,0.42,0.26,0.31388888888888894,0.5171953428195122,0.47272727272727255,0.31388888888888894
3625,all,KB-ML,6,0.6623376623376623,0.7792207792207793,0.6694413580809093,0.7815106242072534,0.7072649572649574,0.4508547008547008,0.610524091293322,0.7642338417266112,0.75019425019425,0.610524091293322
1549,all,KB-ML,4,0.6753246753246753,0.8441558441558441,0.6705036824968292,0.8412176059234882,0.5934065934065934,0.5,0.552479571710341,0.7247656121515031,0.7103422892896577,0.552479571710341
2549,all,KB-ML,12,0.7012987012987013,0.922077922077922,0.7060949754972949,0.922077922077922,0.8803329864724242,0.6742976066597298,0.8545622119815669,0.9189340813464236,0.917045804399138,0.8545622119815669
3633,all,KB-ML,8,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.6287625418060201,0.2959866220735786,0.4414401388085599,0.6572880379905125,0.6115350608719308,0.4414401388085599
3123,correct,KB-ML,12,0.7142857142857143,0.935064935064935,0.719452887537994,0.9351996318288455,0.7777777777777777,0.5959595959595958,0.7588383838383836,0.8580320021619015,0.8464496166359522,0.7588383838383836
1523,correct,KB-ML,8,0.7272727272727273,0.8701298701298701,0.7260499634869146,0.8681420620196131,0.718181818181818,0.4318181818181818,0.6741258741258742,0.7901281644582848,0.770238095238095,0.6741258741258742
3641,all,KB-ML,10,0.6493506493506493,0.7922077922077922,0.650767414403778,0.790789670100015,0.8118131868131868,0.5810439560439561,0.7615301365301366,0.8609969130188412,0.8554993470449532,0.7615301365301366
1517,all,KB-ML,7,0.7272727272727273,0.8701298701298701,0.7260499634869146,0.8681420620196131,0.8148820326678766,0.3720508166969147,0.6873563218390805,0.8111095199421696,0.7950191570881227,0.6873563218390805
2553,all,KB-ML,2,0.7894736842105263,0.881578947368421,0.7781321991848308,0.8747171667486474,0.5416666666666666,0.34375,0.44097222222222215,0.6122232833336585,0.6041666666666666,0.44097222222222215
1519,correct,KB-ML,7,0.7272727272727273,0.8701298701298701,0.7260499634869146,0.8681420620196131,0.8,0.3578947368421052,0.6600000000000001,0.79542730297911,0.7722222222222223,0.6600000000000001
3639,correct,KB-ML,9,0.6493506493506493,0.7922077922077922,0.650767414403778,0.790789670100015,0.6842105263157895,0.5578947368421054,0.6320205548195431,0.7881743298452036,0.7692075015124018,0.6320205548195431
1521,all,KB-ML,8,0.7272727272727273,0.8701298701298701,0.7260499634869146,0.8681420620196131,0.7648902821316617,0.4482758620689655,0.713661817110093,0.8190727593912897,0.8052924087406848,0.713661817110093
3637,all,KB-ML,9,0.6493506493506493,0.7922077922077922,0.650767414403778,0.790789670100015,0.6784615384615384,0.5584615384615386,0.6286074718568997,0.7822416166823571,0.7655771781269128,0.6286074718568997
1531,correct,KB-ML,10,0.7402597402597403,0.8571428571428571,0.7402597402597403,0.8555925897217271,0.825925925925926,0.5259259259259258,0.7650793650793651,0.8610834881507372,0.8523719165085388,0.7650793650793651
1525,all,KB-ML,9,0.7402597402597403,0.8571428571428571,0.7402597402597403,0.8555925897217271,0.8333333333333334,0.4971264367816091,0.7666666666666667,0.8618243064796751,0.8547429581912339,0.7666666666666667
2551,correct,KB-ML,12,0.7012987012987013,0.922077922077922,0.7060949754972949,0.922077922077922,0.8862478777589132,0.6723259762308998,0.8585714285714284,0.922654462242563,0.9195735893285707,0.8585714285714284
1527,correct,KB-ML,9,0.7402597402597403,0.8571428571428571,0.7402597402597403,0.8555925897217271,0.8166666666666667,0.47916666666666663,0.7400000000000001,0.8440285000290665,0.8346153846153846,0.7400000000000001
3635,correct,KB-ML,8,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.6315789473684211,0.2974828375286041,0.4442026117926395,0.6624259657896718,0.6143049932523617,0.4442026117926395
1529,all,KB-ML,10,0.7402597402597403,0.8571428571428571,0.7402597402597403,0.8555925897217271,0.8454661558109835,0.5466155810983395,0.7932858967341725,0.8797284109782006,0.8731391772892514,0.7932858967341725
3125,all,KB-ML,2,0.7142857142857143,0.7922077922077922,0.7083516483516483,0.7863313157430805,0.5231481481481481,0.3287037037037037,0.4197530864197531,0.598623611288541,0.5827160493827159,0.4197530864197531
2545,all,KB-ML,11,0.7142857142857143,0.9090909090909091,0.719452887537994,0.9092794845603834,0.8763440860215054,0.6634408602150537,0.848598774089658,0.9152163950040735,0.9131513647642678,0.848598774089658
1551,correct,KB-ML,4,0.6753246753246753,0.8441558441558441,0.6705036824968292,0.8412176059234882,0.5857142857142857,0.4714285714285715,0.5346153846153846,0.7144653606182764,0.694736842105263,0.5346153846153846
3623,correct,KB-ML,5,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.6278195488721804,0.2894736842105263,0.4444444444444445,0.6306925380790167,0.5955798587377534,0.4444444444444445
1579,correct,KB-ML,11,0.6623376623376623,0.9090909090909091,0.6591545709192769,0.9078681453050965,0.7533333333333334,0.5133333333333333,0.6903439153439154,0.8142308173981085,0.8073826458036987,0.6903439153439154
1573,all,KB-ML,10,0.6753246753246753,0.922077922077922,0.6705036824968292,0.9206088029617441,0.6965811965811964,0.4743589743589744,0.6368686868686869,0.7754562928684746,0.7660567899879805,0.6368686868686869
2539,correct,KB-ML,9,0.7142857142857143,0.9090909090909091,0.719452887537994,0.9092794845603834,0.865263157894737,0.6000000000000001,0.8218374884579871,0.9010711091165696,0.8958354139618495,0.8218374884579871
1575,correct,KB-ML,10,0.6753246753246753,0.922077922077922,0.6705036824968292,0.9206088029617441,0.7259259259259259,0.474074074074074,0.6557575757575759,0.7930956422609685,0.7804621848739495,0.6557575757575759
3611,correct,KB-ML,2,0.6753246753246753,0.7922077922077922,0.6738690041510889,0.7890272992313809,0.5723684210526315,0.3355263157894737,0.44298245614035087,0.6324034078242723,0.6087719298245613,0.44298245614035087
1577,all,KB-ML,11,0.6623376623376623,0.9090909090909091,0.6591545709192769,0.9078681453050965,0.7205128205128205,0.5128205128205128,0.6693376068376069,0.7962277620858759,0.7910093107461529,0.6693376068376069
3131,correct,KB-ML,3,0.7142857142857143,0.7922077922077922,0.7083516483516483,0.7863313157430805,0.6417112299465242,0.48128342245989303,0.5777777777777778,0.7402276418200848,0.7244990303813834,0.5777777777777778
3609,all,KB-ML,2,0.6753246753246753,0.7922077922077922,0.6738690041510889,0.7890272992313809,0.5576923076923077,0.33653846153846156,0.4391025641025641,0.622548588301484,0.6038461538461538,0.4391025641025641
1553,all,KB-ML,5,0.6753246753246753,0.8441558441558441,0.6705036824968292,0.8412176059234882,0.6131221719457014,0.38687782805429866,0.4933107616365534,0.695638225178848,0.6595137025739033,0.4933107616365534
1581,all,KB-ML,12,0.6753246753246753,0.8701298701298701,0.6664899726124216,0.8660839160839161,0.7163461538461539,0.515625,0.670171381999963,0.7971677889143629,0.7909606820690442,0.670171381999963
2537,all,KB-ML,9,0.7142857142857143,0.9090909090909091,0.719452887537994,0.9092794845603834,0.8593548387096777,0.615483870967742,0.8237068477645727,0.9021707552146117,0.8978362746839809,0.8237068477645727
1583,correct,KB-ML,12,0.6753246753246753,0.8701298701298701,0.6664899726124216,0.8660839160839161,0.75625,0.5125,0.6951531227393296,0.8176019644732645,0.8102325581395349,0.6951531227393296
3607,correct,KB-ML,12,0.7922077922077922,0.922077922077922,0.7937980386959979,0.922077922077922,0.8519269776876267,0.5862068965517242,0.7999634636463281,0.8893164554425954,0.8844169246646028,0.7999634636463281
1585,all,KB-ML,2,0.8051948051948052,0.8181818181818182,0.8073088062236191,0.8172255514471503,0.5703125,0.34375,0.4505208333333333,0.6315995517293189,0.6156249999999999,0.4505208333333333
1587,correct,KB-ML,2,0.8051948051948052,0.8181818181818182,0.8073088062236191,0.8172255514471503,0.5952380952380952,0.34523809523809523,0.4603174603174603,0.6485656018070057,0.6269841269841269,0.4603174603174603
3613,all,KB-ML,3,0.6233766233766234,0.7662337662337663,0.6308121633346383,0.7683441558441558,0.5999999999999999,0.4423076923076923,0.5331196581196581,0.7032909828024132,0.6793975255513718,0.5331196581196581
1571,correct,KB-ML,9,0.7012987012987013,0.8961038961038961,0.6931707748034278,0.8928671328671329,0.7200000000000001,0.41600000000000004,0.6035508021390373,0.753769568254253,0.7325490196078432,0.6035508021390373
1569,all,KB-ML,9,0.7012987012987013,0.8961038961038961,0.6931707748034278,0.8928671328671329,0.7076923076923076,0.4569230769230769,0.6217035170711641,0.7676634927798125,0.7522090797632595,0.6217035170711641
3615,correct,KB-ML,3,0.6233766233766234,0.7662337662337663,0.6308121633346383,0.7683441558441558,0.5842105263157894,0.42105263157894735,0.5124269005847953,0.6877449562595213,0.6570972886762362,0.5124269005847953
1567,correct,KB-ML,8,0.7012987012987013,0.8961038961038961,0.6931707748034278,0.8928671328671329,0.7217391304347825,0.4869565217391304,0.65,0.7971284267603334,0.780952380952381,0.65
2541,all,KB-ML,10,0.7142857142857143,0.9090909090909091,0.719452887537994,0.9092794845603834,0.855990783410138,0.6244239631336405,0.8186426476749059,0.8896685529712063,0.8853302611367125,0.8186426476749059
1565,all,KB-ML,8,0.7012987012987013,0.8961038961038961,0.6931707748034278,0.8928671328671329,0.697324414715719,0.48996655518394644,0.6368450390189521,0.7821285510313172,0.7705882352941177,0.6368450390189521
3617,all,KB-ML,4,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.6282051282051283,0.34935897435897434,0.5042735042735043,0.6718872681513469,0.648628294782141,0.5042735042735043
1563,correct,KB-ML,7,0.6623376623376623,0.8831168831168831,0.6591545709192769,0.8815447582494098,0.7142857142857143,0.48571428571428577,0.64,0.7905350201669269,0.7743589743589744,0.64
3129,all,KB-ML,3,0.7142857142857143,0.7922077922077922,0.7083516483516483,0.7863313157430805,0.6464646464646464,0.505050505050505,0.5927422371866816,0.7504859602876898,0.7385189973425269,0.5927422371866816
1561,all,KB-ML,7,0.6623376623376623,0.8831168831168831,0.6591545709192769,0.8815447582494098,0.6886446886446886,0.48901098901098905,0.6265567765567766,0.7748749616520202,0.763637268977651,0.6265567765567766
3619,correct,KB-ML,4,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.6359649122807017,0.3421052631578948,0.4992690058479532,0.6734204548397364,0.6430622009569379,0.4992690058479532
1559,correct,KB-ML,6,0.6623376623376623,0.8831168831168831,0.6623376623376623,0.8826446280991737,0.7052631578947369,0.5052631578947369,0.6403361344537815,0.7910427500435997,0.7769230769230769,0.6403361344537815
2543,correct,KB-ML,10,0.7142857142857143,0.9090909090909091,0.719452887537994,0.9092794845603834,0.8552631578947368,0.6127819548872181,0.8123718386876282,0.8831434285319684,0.8760651629072682,0.8123718386876282
1557,all,KB-ML,6,0.6623376623376623,0.8831168831168831,0.6623376623376623,0.8826446280991737,0.6862348178137652,0.5060728744939271,0.6272326744462967,0.7784659580222013,0.766748282663402,0.6272326744462967
3621,all,KB-ML,5,0.6493506493506493,0.7662337662337663,0.6531558512025142,0.7662337662337663,0.6346153846153846,0.2912087912087912,0.4487179487179487,0.6277651595875654,0.6005661005661005,0.4487179487179487
1555,correct,KB-ML,5,0.6753246753246753,0.8441558441558441,0.6705036824968292,0.8412176059234882,0.6235294117647058,0.3647058823529411,0.48606060606060597,0.6966386148140337,0.6532608695652173,0.48606060606060597
1515,correct,KB-ML,6,0.6753246753246753,0.8441558441558441,0.6817346235643433,0.8455627705627706,0.7764705882352941,0.4,0.6600000000000001,0.79542730297911,0.7722222222222223,0.6600000000000001
1513,all,KB-ML,6,0.6753246753246753,0.8441558441558441,0.6817346235643433,0.8455627705627706,0.799188640973631,0.40973630831643,0.6835249042145594,0.8100366100511842,0.7903169627307559,0.6835249042145594
1589,all,KB-ML,3,0.8311688311688312,0.8181818181818182,0.8286619148983512,0.8126159554730983,0.7329545454545455,0.43181818181818177,0.6392496392496392,0.7801977029746496,0.7711538461538462,0.6392496392496392
2933,all,KB-ML,9,0.7272727272727273,0.8831168831168831,0.7260499634869146,0.8825928414943921,0.7134387351778657,0.4446640316205533,0.6443727896817143,0.7642310722273721,0.756969696969697,0.6443727896817143
3669,all,KB-ML,6,0.7012987012987013,0.8571428571428571,0.6968633878970829,0.855021620298605,0.6111111111111112,0.2948717948717948,0.42442173211403983,0.64027516648114,0.5932523616734143,0.42442173211403983
1461,all,KB-ML,4,0.7402597402597403,0.8831168831168831,0.7449571704890854,0.8826385890324511,0.611904761904762,0.330952380952381,0.47539682539682543,0.6438063198048286,0.6181361495647211,0.47539682539682543
3117,all,KB-ML,11,0.7142857142857143,0.935064935064935,0.719452887537994,0.9351996318288455,0.8322580645161286,0.5978494623655913,0.7865170640486211,0.8748535049418013,0.8642831765935213,0.7865170640486211
1463,correct,KB-ML,4,0.7402597402597403,0.8831168831168831,0.7449571704890854,0.8826385890324511,0.6268115942028986,0.3152173913043479,0.46256038647342984,0.640351914470864,0.6035182209095254,0.46256038647342984
3667,correct,KB-ML,5,0.7012987012987013,0.8571428571428571,0.6968633878970829,0.855021620298605,0.6333333333333333,0.39583333333333337,0.5114583333333333,0.6945026366013574,0.6722376593658057,0.5114583333333333
1465,all,KB-ML,5,0.7532467532467533,0.8961038961038961,0.7559244878832507,0.8949232585596222,0.5816326530612245,0.15510204081632653,0.29152752009894867,0.515347772943364,0.44804998922645983,0.29152752009894867
1467,correct,KB-ML,5,0.7532467532467533,0.8961038961038961,0.7559244878832507,0.8949232585596222,0.5993788819875775,0.14906832298136644,0.29041972520233383,0.5191857394673364,0.4465210833497279,0.29041972520233383
2567,correct,KB-ML,5,0.7894736842105263,0.9605263157894737,0.787327141382869,0.9599515679122091,0.6984126984126983,0.15476190476190477,0.3417989417989417,0.5759574817356725,0.5074074074074074,0.3417989417989417
3665,all,KB-ML,5,0.7012987012987013,0.8571428571428571,0.6968633878970829,0.855021620298605,0.6205128205128205,0.41794871794871796,0.5173076923076925,0.6964175962888957,0.6780244926698015,0.5173076923076925
